"overlap","area_a_gaps","area_b_gaps","area_change","CHM1_mean","CHM2_mean","gap_volume_a_gaps","gap_volume_b_gaps","gap_volume_change","height_growth","Plot_id"
"Persistent gap",1220.25,1220.25,0,5.56181682140411,5.61554166719184,6786.80697631836,6852.36471939085,65.557743072487,0.0537248457877375,114
"Recovered gap",684.5,0,-684.5,6.81111044148793,16.8106027941707,4662.20509719849,0,-4662.20509719849,9.99949235268282,114
"Intact canopy",0,0,0,30.0294209605158,31.3420453223182,0,0,0,1.31262436180249,124
"New gap",0,858.75,858.75,24.1178648525277,5.32181527527833,0,4570.10886764526,4570.10886764526,-18.7960495772493,124
"Persistent gap",1221.75,1221.75,0,4.89773516170028,5.07401095945117,5983.80793380732,6199.17288970947,215.364955902144,0.176275797750885,124
"Recovered gap",644.25,0,-644.25,5.92719495874716,20.9994418433252,3818.59535217286,0,-3818.59535217286,15.072246884578,124
"Intact canopy",0,0,0,32.3636402866743,35.7972755633665,0,0,0,3.43363527669217,118
"New gap",0,689.75,689.75,20.917677820917,5.45049778937257,0,3759.48085021973,3759.48085021973,-15.4671800315445,118
"Persistent gap",1256.5,1256.5,0,4.7457568331444,5.08999281920053,5963.04346084594,6395.57597732546,432.532516479524,0.344235986056127,118
"Recovered gap",772.75,0,-772.75,5.6799398155052,23.7274293483017,4389.17349243164,0,-4389.17349243164,18.0474895327965,118
"Intact canopy",0,0,0,31.6747250256607,34.4247618317122,0,0,0,2.75003680605145,113
"New gap",0,546,546,19.5983695844154,6.19814957279862,0,3384.18966674804,3384.18966674804,-13.4002200116168,113
"Persistent gap",843.75,843.75,0,5.75489908402055,5.79879805953415,4855.69610214234,4892.73586273194,37.0397605895951,0.0438989755135939,113
"Recovered gap",591.75,0,-591.75,6.47927328479607,20.5678536753942,3834.10996627808,0,-3834.10996627808,14.0885803905982,113
"Intact canopy",0,0,0,30.7795570198926,32.9184929796974,0,0,0,2.13893595980474,123
"New gap",0,753.5,753.5,20.6876561722379,5.9525995691169,0,4485.28377532958,4485.28377532958,-14.735056603121,123
"Persistent gap",1232.5,1232.5,0,5.39323805060397,5.18835179946002,6647.16589736939,6394.64359283447,-252.522304534921,-0.204886251143952,123
"Recovered gap",607.25,0,-607.25,6.08178761192877,22.9397704311731,3693.16552734375,0,-3693.16552734375,16.8579828192443,123
"Intact canopy",0,0,0,31.5881483814773,33.6867819619081,0,0,0,2.09863358043086,117
"New gap",0,467,467,20.0539989185538,4.90421279645834,0,2290.26737594604,2290.26737594604,-15.1497861220954,117
"Persistent gap",1610.5,1610.5,0,4.03156672764623,4.05686010332887,6492.83821487425,6533.57319641114,40.7349815368843,0.0252933756826357,117
